=== Key Distribution Data ===
      numK      Min   Median      Max
    100000        0      7.0       92
    200000        0     13.0      171
    300000        0     20.0      266
    400000        0     27.0      366
    500000        0     34.0      456
    600000        0     41.0      574
    700000        0     47.0      620
    800000        0     54.0      710
    900000        0     60.0      798
   1000000        0     68.0      918

=== Hop Distribution Data ===
  Hops   Proportion
     1     0.000102
     2     0.001347
     3     0.008693
     4     0.033144
     5     0.084950
     6     0.157272
     7     0.213068
     8     0.214802
     9     0.159749
    10     0.086063
    11     0.032208
    12     0.007568
    13     0.000980
    14     0.000053
